Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Lance Bouma,357,30,46,76,0.213,210,1,2010,2018,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Stacy Roest,244,28,48,76,0.311,54,1,1998,2003,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Kevin Connauton,314,27,49,76,0.242,177,2,2013,2021,0,0,0,0,2.0667858,-0.5203916,-1.3772327,-0.9805498,-2.6202304,-1.0495636,1.3515241,-0.32531726,-0.9618773,-1.0546942,-4.187,-11.725332462310792,8.08628979216977e-06
Nikita Zadorov,361,22,54,76,0.21100000000000002,385,2,2013,2021,0,0,0,0,2.0788836,-0.5203916,-1.3772327,-1.0742073,-2.6343822,-0.34572545,1.3515241,-0.32531726,-1.0026953,-1.0546942,-4.187,-11.170121871948243,1.4088721690389242e-05
Brett Lebda,397,20,56,76,0.191,229,2,2005,2012,0,1,0,0,2.0667858,-0.4614896,-1.3494775,-1.0212953,-2.5124567,-1.0201443,1.3515241,-0.32531726,-0.5076753,-1.0546942,-4.187,-11.088025772094728,1.529413607123897e-05
Jake McCabe,345,18,58,76,0.22,199,2,2013,2021,0,0,0,0,2.0667858,-0.5203916,-1.3772327,-0.9805498,-2.6202304,-1.0495636,1.3515241,-0.32531726,-0.9618773,-1.0546942,-4.187,-11.725332462310792,8.08628979216977e-06
Nikita Nikitin,259,17,59,76,0.293,85,2,2010,2016,0,0,0,0,2.0667858,-0.5203916,-1.3772327,-0.9805498,-2.6202304,-1.0495636,1.3515241,-0.32531726,-0.9618773,-1.0546942,-4.187,-11.725332462310792,8.08628979216977e-06
Bruce Bell,209,12,64,76,0.364,113,2,1984,1990,0,0,0,0,2.1908996,-0.4472322,-1.3772327,-0.9805498,-1.6692523,-1.0495636,1.3515241,-0.32531726,-0.9618773,-1.0546942,-4.187,-10.70119496536255,2.251750653381175e-05
Jeff Schultz,409,11,65,76,0.18600000000000005,137,2,2006,2016,0,1,0,0,2.0667858,-0.4614896,-1.3494775,-0.9805498,-2.4918594,-1.0760369,1.3515241,-0.32531726,-0.5076753,-1.0546942,-4.187,-11.082575523376466,1.5377719202442408e-05
Tyler Pitlick,253,42,33,75,0.29600000000000004,66,1,2013,2021,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Tom Webster,102,33,42,75,0.735,61,1,1968,1980,0,0,0,0,2.4341612,-0.1718021,-1.1994209,-0.830888,-0.46472347,-1.11822,-0.6576889,-0.28963754,-0.9707208,-0.9336279,-4.187,-10.82372971725464,1.992073043246817e-05
Matt Halischuk,280,33,42,75,0.268,57,1,2008,2016,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Tim Jackman,483,32,43,75,0.155,806,1,2003,2016,0,0,0,0,1.9919484,-0.8663578,-0.91218096,-0.8835264,-2.653503,0.8751063,-0.61138415,-0.32531726,-1.0977443,-1.3545173,-4.187,-12.016424858093263,6.044082267619635e-06
Ivan Novoseltsev,234,31,44,75,0.321,112,1,1999,2004,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Harry York,244,29,46,75,0.307,99,1,1996,2000,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Cory Conacher,193,28,47,75,0.389,118,1,2012,2020,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.6556908,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.61515399169922,3.321289944507791e-06
Barclay Goodrow,279,26,49,75,0.26899999999999996,256,1,2014,2021,0,1,0,0,2.0667858,-0.6395211,-1.1427773,-0.96137655,-2.4988954,-0.974662,-0.6203059,-0.32531726,-0.61137795,-1.0407517,-4.187,-13.001985275268556,2.2558413934708463e-06
Eric Messier,406,25,50,75,0.185,146,2,1996,2004,0,1,0,0,2.0667858,-0.4614896,-1.3494775,-0.9805498,-2.4918594,-1.0760369,1.3515241,-0.32531726,-0.5076753,-1.0546942,-4.187,-11.082575523376466,1.5377719202442408e-05
Jay Harrison,372,23,52,75,0.20199999999999999,360,2,2005,2015,0,0,0,0,2.0788836,-0.5203916,-1.3772327,-1.0742073,-2.6343822,-0.34572545,1.3515241,-0.32531726,-1.0026953,-1.0546942,-4.187,-11.170121871948243,1.4088721690389242e-05
Craig Levie,183,22,53,75,0.41,177,2,1981,1987,0,0,0,0,2.1908996,-0.37854454,-1.3280768,-0.92408526,-0.9711611,-1.0495636,1.3515241,-0.32531726,-1.0010442,-1.0546942,-4.187,-9.867963039398195,5.180546842562106e-05
