Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Mike Ridley,866,292,466,758,0.875,424,1,1985,1997,0,0,1,0,-10.854206287384034,1.932278457634147e-05
Scott Young,1181,342,415,757,0.6409999999999999,448,1,1987,2006,0,2,0,0,-8.439011299133302,0.00021621710493804214
Scott Gomez,1079,181,575,756,0.701,655,1,1999,2016,1,2,2,0,-2.2303657169342044,0.09705658607257278
Steve Duchesne,1113,227,526,752,0.6759999999999999,824,2,1986,2002,0,1,3,0,-2.5447749729156497,0.07277829249513983
Craig Janney,760,188,563,751,0.988,170,1,1987,1999,0,0,0,0,-3.5830711956024173,0.027038803620640647
Olli Jokinen,1231,321,429,750,0.609,1071,1,1997,2015,0,0,1,0,-8.153551065444947,0.00028762910549798114
Bobby Holik,1314,326,421,747,0.568,1421,1,1990,2009,0,2,2,0,-7.520833694458008,0.0005413875220653408
Steve Sullivan,1011,290,457,747,0.7390000000000001,587,1,1995,2013,0,0,0,0,-9.476560794830323,7.66211492915031e-05
Russ Courtnall,1029,297,447,744,0.723,557,1,1983,1999,0,0,1,0,-8.161009513854982,0.00028549242916094786
Mathieu Schneider,1289,223,521,744,0.5770000000000001,1250,2,1987,2010,0,1,2,0,-5.038614832878113,0.00644096675969872
Greg Adams,1056,355,388,743,0.7040000000000001,326,1,1984,2001,0,0,1,0,-6.981872283935547,0.0009277016115800014
Mark Howe,929,197,545,742,0.799,455,2,1979,1995,0,0,4,1,0.7727969055175778,0.6841256097767322
Scott Niedermayer,1263,172,574,740,0.586,784,2,1991,2010,2,4,5,1,7.816921508789062,0.99959730225412
Jeff Carter,1044,383,354,737,0.706,537,1,2005,2021,0,2,2,0,-5.717990719795227,0.003275542944439633
Miroslav Satan,1050,363,372,735,0.7,464,1,1995,2010,0,1,2,0,-6.708953821182251,0.0012184532927515888
Andrew Brunette,1109,268,465,733,0.6609999999999999,314,1,1995,2012,0,0,0,0,-9.803070270538331,5.5278553224436946e-05
Andrew Cassels,1015,204,528,732,0.721,410,1,1989,2006,0,0,0,0,-8.578565322875978,0.0001880592660574035
Matt Cullen,1516,266,465,731,0.48200000000000004,592,1,1997,2019,0,3,0,0,-3.923382126808167,0.01939066989342777
Bobby Carpenter,1178,320,408,728,0.618,919,1,1981,1999,0,1,1,0,-7.883027994155884,0.000376947358618657
Murray Oliver,1127,274,454,728,0.6459999999999999,320,1,1957,1975,0,0,5,0,-10.037078582763673,4.3745477182175984e-05
Mike Foligno,1018,355,372,727,0.7140000000000001,2045,1,1979,1994,0,0,0,0,-8.286876403808595,0.00025173636923860764
Jason Pominville,1060,293,434,727,0.6859999999999999,199,1,2003,2019,0,0,1,0,-9.163969242095948,0.00010473533772774146
Cory Stillman,1025,278,449,727,0.7090000000000001,489,1,1994,2011,0,2,0,0,-8.932163440704347,0.00013205454461225516
Kevin Stevens,874,329,397,726,0.831,1470,1,1987,2002,0,2,3,0,-8.026895009994508,0.00032645399676574
Bob Nevin,1128,307,419,726,0.644,211,1,1957,1976,0,2,4,0,-8.776962959289552,0.00015422203731196117
Paul Stastny,949,250,476,726,0.765,438,1,2006,2021,0,0,1,0,-11.428149902343751,1.0884608977176745e-05
Dave Babych,1194,142,581,723,0.606,970,2,1980,1999,0,0,2,0,-3.4116096134185794,0.03193459913644064
Petr Sykora,1017,323,398,721,0.7090000000000001,433,1,1995,2012,0,2,0,0,-7.157834970474243,0.0007781327596372708
